Level,Number,year2014,year2015,year2016,year2017,year2018,year2019
4,5,"Airplane, Half flip spike
飛行機～
半フリップとめけん","Lighthouse flip,
Tradespike
灯台とんぼ返り～けん","Swing spike, Double whirlwind
ふりけん～                  ２回転ワールウィンド","Airplane,
1.5 turn tradespike
飛行機～ １．５回転とめけん","Juggle spike
ジャグルとめけん","Juggle spike
ジャグルとめけん"
4,6,"Lunar, Flip in
月面着陸～    １回転さかおとし","Underbird, Falling in
アンダーバード～さかおとし","Handlestall, 1 turn spike
中皿極意～回転けん","1 turn tap reverse 1 turn falling in
１回転タップリバース １回転さかおとし","Flying V, 1 turn airplane
ブリッジ～１回転飛行機",Swirl to airplane (Ken grip start)らせん飛行機
4,7,"Big cup, Juggle big cup,
Spike
大皿～ジャグリング大皿
～けん","Kenflip bird, Spike
けんフリップうぐいす
～けん","Scramble 1 turn lighthouse, Tradespike
スクランブル１回転灯台
～けん","Bird, 1 turn over the valley, 1 turn spike
うぐいす～回転谷渡り～回転けん","Candle grip underbird,
Spike
ろうそくアンダーバード
～けん","Underbird, Falling in
アンダーバード
～さかおとし"
4,8,"U.F.O.
飛行機～横はねけん","Spacewalk swap spike
宇宙遊泳１回転とめけん","Lunar flip, Flip in
月面とんぼ返り～ １回転さかおとし","Lunar, Tradespike
月面着陸～けん","Stilt, Tradespike
たけうま～けん","Stilt, Downspike
たけうま
～ダウンスパイク"
4,9,"Spacewalk handroll spike
扇風機～ふりけん","Airplane, Whirlpool spike
飛行機～うずしおとめけん","1 turn stuntplane fasthand
１回転かぶせけん","Stilt, Flip in
たけうま～         １回転さかおとし","Sara grip big cup, Orbit penguin big cup,
Grip change spike
皿グリップ大皿～     つばめ返しペンギン大皿～
グリップチェンジけん","Handlestall, 1 turn spike
中皿極意～回転けん"
4,10,"Hanging downspike
つるしダウンスパイク","Downspike, Down earth
地獄ぐるま","Stilt, Downspike
たけうま～ダウンスパイク","Lighthouse, Downspike
灯台～ダウンスパイク","Lighthouse, Stuntplane
灯台～すくいけん","1 turn lighthouse, Penguin spike
１回転灯台
～ペンギンけん"
5,1,"Airplane, Base cup,
Airplane in
飛行機～ 中皿さかおとし","Spacewalk handroll kenflip spike
宇宙遊泳～扇風機～ けんフリップふりけん","Airplane,
1.5 turn tap reverse 1 turn jumping stick
飛行機～ 1.5 回転タップうら１回転はねけん","Lightening drop swap spike
稲妻おとし１回転とめけん","Swirl to swap spike
らせんスワップスパイク","Lightning drop swap spike
稲妻おとしスワップけん"
5,2,"Swing spike,
Inward whirlwind
ふりけん～うらけんフリップ地球まわし","Big cup, Kenflip lighthouse, Downspike
大皿～けんフリップ灯台
～ダウンスパイク","Double juggle spike
ダブルジャグルとめけん","Swap airplane,
0.5 swap spike
スワップ飛行機～ ０．５回転スワップとめけん","Triple jumping stick
３回転はねけん","2 turn airplane, Double jumping stick
２回転飛行機
～２回転はねけん"
5,3,"Airplane, Whirlpool spike
飛行機～
うずしおとめけん","Juggle to spike
ジャグルとめけん","Around gunslinger
風車世界一周","Knee bounce
1 turn stuntplane
リフティング     １回転すくいけん","Around Denmark
デンマーク一周","Around Denmark
デンマーク一周"
5,4,"Around the USA
USA 一周","Swing spike, Double whirlwind
ふりけん～２回転   けんフリップ地球まわし","Mooncircle swap 1 turn airplane
円月殺法１回転飛行機","Swing spike, Double whirlwind
ふりけん～                  ２回転ワールウィンド","Base cup, Kenflip base cup, Kenflip lighthouse,
Tradespike
中皿～けんフリップ中皿
～けんフリップ灯台
～けん","Double whirlwind
ダブルワールウィンド"
